id,name,weight,height,experience,active,status,position,age,team,stats_log,url
4245146,Travell Harris,182.0,68.0,0,True,FA,1,25.0,5,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4245146?lang=en&region=us
17066,Jonotthan Harrison,308.0,76.0,7,True,FA,4,33.0,15,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/17066?lang=en&region=us
4363046,Tre'Shaun Harrison,188.0,71.0,1,True,FA,1,24.0,10,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4363046?lang=en&region=us
4432708,Marvin Harrison Jr.,205.0,76.0,0,True,Active,1,22.0,22,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4432708?lang=en&region=us
4047839,N'Keal Harry,225.0,76.0,6,True,Practice Squad,1,26.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4047839?lang=en&region=us
3917546,Penny Hart,180.0,68.0,4,True,FA,1,28.0,1,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3917546?lang=en&region=us
4411193,Deonte Harty,170.0,66.0,6,True,Day-To-Day,1,26.0,33,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4411193?lang=en&region=us
4426370,Jadon Haselwood,215.0,74.0,0,True,FA,1,23.0,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4426370?lang=en&region=us
3126353,J.C. Hassenauer,295.0,74.0,6,True,FA,4,30.0,28,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3126353?lang=en&region=us
3916927,Will Hastings,174.0,70.0,0,True,FA,1,,17,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3916927?lang=en&region=us
2980061,Keon Hatcher,215.0,73.0,2,True,FA,1,30.0,20,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2980061?lang=en&region=us
4571762,Hayden Hatten,207.0,73.0,0,True,FA,1,24.0,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4571762?lang=en&region=us
4241671,Jeremiah Haydel,170.0,72.0,0,True,FA,1,,14,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4241671?lang=en&region=us
4429760,Jaaron Hayek,199.0,72.0,0,True,FA,1,,12,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4429760?lang=en&region=us
4427423,Sincere Haynesworth,300.0,73.0,0,True,FA,4,23.0,17,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4427423?lang=en&region=us
4689334,Malik Heath,213.0,74.0,2,True,Active,1,24.0,9,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4689334?lang=en&region=us
4239691,Griffin Hebert,239.0,73.0,1,True,FA,1,25.0,21,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4239691?lang=en&region=us
4034960,Brett Heggie,310.0,76.0,0,True,FA,4,,13,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4034960?lang=en&region=us
4361029,Jaivon Heiligh,200.0,74.0,0,True,FA,1,25.0,4,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4361029?lang=en&region=us
4044138,Matt Hennessy,315.0,75.0,4,True,Active,4,26.0,1,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4044138?lang=en&region=us
4241004,Thomas Hennigan,210.0,73.0,0,True,FA,1,26.0,16,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4241004?lang=en&region=us
3917200,Malik Henry,190.0,72.0,1,True,FA,1,27.0,18,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/3917200?lang=en&region=us
2573307,Marcus Henry,303.0,74.0,1,True,FA,4,31.0,22,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/2573307?lang=en&region=us
4032625,Ra'Shaun Henry,190.0,75.0,1,True,FA,1,26.0,26,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4032625?lang=en&region=us
4244768,Julian Hicks,201.0,74.0,0,True,Practice Squad,1,25.0,9,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4244768?lang=en&region=us
4046668,Aleva Hifo,187.0,70.0,1,True,FA,1,26.0,22,,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/athletes/4046668?lang=en&region=us
