id,team_id,season_id,category,name,value,perGameValue,rank
8338bd4d-2f3b-43dd-b8d0-2bb30dd4f798,22,2024,receiving,totalYards,2057.0,,24.0
213154d4-1ac4-4902-8c61-cccda50cfed5,22,2024,receiving,totalYardsFromScrimmage,2057.0,,1.0
e7535c25-5885-4e0d-b6ae-9d4b92d8add0,22,2024,receiving,twoPointRecConvs,170.0,,28.0
05683c49-3c5a-4b13-8709-a4332c5297f0,22,2024,receiving,twoPtReception,0.0,,8.0
77b6309b-ca24-4d6e-bde5-dd46d7e0c53f,22,2024,receiving,twoPtReceptionAttempts,0.0,,24.0
a16774fb-f697-4278-913d-d7440c4a23f8,22,2024,receiving,yardsFromScrimmagePerGame,342.83334,,16.0
7768e3eb-31a4-4fec-8380-430182f31105,22,2024,receiving,yardsPerGame,342.833,,16.0
25dea8ae-acd2-4b04-ad49-da8268d89a07,22,2024,receiving,yardsPerReception,10.224,,24.0
f5a96cb0-ca54-47e3-bc7c-d7ba2e799592,22,2024,defensive,assistTackles,197.0,,28.0
995b2cd0-4854-4a9e-85fc-e95b7937d8cf,22,2024,defensive,avgInterceptionYards,2.0,,24.0
1f225e84-a5b8-403c-85b1-9e4dd29b57eb,22,2024,defensive,avgSackYards,5.455,,26.0
de0d6fc0-7450-4cee-80a1-629eba15986c,22,2024,defensive,avgStuffYards,2.45,,27.0
34668fbd-9248-45ea-8c3a-aab79d2dbcdc,22,2024,defensive,blockedFieldGoalTouchdowns,0.0,,4.0
2896fa5a-82ca-4d39-90a2-51ec385f345c,22,2024,defensive,blockedPuntTouchdowns,0.0,,3.0
676ac5de-9472-440e-b4ab-291c3fa13d8d,22,2024,defensive,defensiveTouchdowns,0.0,,14.0
d9cef497-809b-4c38-95c9-a3130bca6337,22,2024,defensive,hurries,0.0,,1.0
9480ee22-07be-4a43-bacf-41f043fac5e8,22,2024,defensive,kicksBlocked,0.0,,18.0
d49f8642-f167-4aea-94e9-79b1a652b470,22,2024,defensive,longInterception,10.0,,23.0
4dfa3ba7-de7e-406e-85db-d8f43674cc46,22,2024,defensive,miscTouchdowns,0.0,,5.0
3a7e7681-b35a-4042-9dc0-931a9e1fbd9c,22,2024,defensive,passesBattedDown,0.0,,1.0
a355af5f-db5f-45f4-b52b-3e68d13a89ef,22,2024,defensive,passesDefended,21.0,,29.0
d9eb953a-1387-48e8-a667-e5b4890d60d0,22,2024,defensive,twoPtReturns,0.0,,2.0
8e67a200-000f-4e8a-a31a-c7796781fc8f,22,2024,defensive,sacks,11.0,,26.0
94b02747-7b05-4f38-ad26-7c13eb7657f8,22,2024,defensive,sackYards,60.0,,28.0
e5ffeffb-cd85-44f1-a903-fb4d0323a4ab,22,2024,defensive,safeties,0.0,,5.0
3ca36b7e-e414-4330-950a-bcb6569d2c0a,22,2024,defensive,soloTackles,264.0,,75.0
e6109ded-1966-427b-a8d6-0946cd41d2df,22,2024,defensive,stuffs,20.0,,7.0
88a0ca13-8ed5-4a9a-8f82-f087dfc20cad,22,2024,defensive,stuffYards,49.0,,28.0
7e7e8476-e117-44ac-a3b7-0b6af99d581a,22,2024,defensive,tacklesForLoss,31.0,,17.0
53585949-db4e-42da-830e-a1f13cb3ff2f,22,2024,defensive,teamGamesPlayed,6.0,,20.0
046342f9-744d-4b27-ad25-45dc3c33334c,22,2024,defensive,totalTackles,461.0,,103.0
ca6f560a-dacc-43ea-ae21-b6ae422cd540,22,2024,defensive,yardsAllowed,0.0,,1.0
de56f78c-d3b2-4667-a887-2eab392a93bf,22,2024,defensive,pointsAllowed,0.0,,1.0
2425b3e6-87ee-49fa-a742-2c24b3a3302b,22,2024,defensive,onePtSafetiesMade,0.0,,1.0
241274a9-1ec9-43f1-af91-4c9b6b716177,22,2024,defensive,missedFieldGoalReturnTd,0.0,,1.0
11100ba8-1985-4265-9b82-18fd27cd0f4a,22,2024,defensive,blockedPuntEzRecTd,0.0,,1.0
f0d3a0a5-c217-401a-ad74-e3f82d76d0b1,22,2024,defensiveInterceptions,interceptions,5.0,,11.0
e50aa781-7800-4257-8d0c-201112c65d9c,22,2024,defensiveInterceptions,interceptionTouchdowns,0.0,,10.0
bbbac13c-ab57-47af-b1d2-b6913d825bfb,22,2024,defensiveInterceptions,interceptionYards,10.0,,23.0
67ce2df6-0253-40a4-b2d6-891b8ffa40c1,22,2024,kicking,avgKickoffReturnYards,29.688,,3.0
a1cd187c-cab0-47f9-aada-3d3e533e80ea,22,2024,kicking,avgKickoffYards,63.5,,3.0
9305aff7-8f44-4f9f-8b21-ba1dac8367b6,22,2024,kicking,extraPointAttempts,12.0,,3.0
be5d1c7c-2521-4d4a-b131-1c9c2525286c,22,2024,kicking,extraPointPct,100.0,,1.0
2e7bc83a-6fc3-4dbf-9dd9-e91a435b51af,22,2024,kicking,extraPointsBlocked,0.0,,1.0
6bfbcef7-6a6b-4a92-88ca-141409c131ff,22,2024,kicking,extraPointsBlockedPct,0.0,,1.0
17803acf-f163-467b-add3-a00ebddad629,22,2024,kicking,extraPointsMade,12.0,,3.0
