id,name,abbreviation,week,year,home,away,url,pbp_url
401671679,Packers v Rams,GB v LAR,5,2024,14,9,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671679,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671679/competitions/401671679/plays?limit=300
401671784,Cowboys v Steelers,DAL v PIT,5,2024,23,6,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671784,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671784/competitions/401671784/plays?limit=300
401671687,Saints v Chiefs,NO v KC,5,2024,12,18,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671687,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671687/competitions/401671687/plays?limit=300
401671819,49ers v Seahawks,SF v SEA,6,2024,26,25,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671819,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671819/competitions/401671819/plays?limit=300
401671722,Cardinals v Packers,ARI v GB,6,2024,9,22,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671722,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671722/competitions/401671722/plays?limit=300
401671820,Colts v Titans,IND v TEN,6,2024,10,11,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671820,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671820/competitions/401671820/plays?limit=300
401671735,Buccaneers v Saints,TB v NO,6,2024,18,27,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671735,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671735/competitions/401671735/plays?limit=300
401671714,Browns v Eagles,CLE v PHI,6,2024,21,5,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671714,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671714/competitions/401671714/plays?limit=300
401671625,Commanders v Ravens,WSH v BAL,6,2024,33,28,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671625,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671625/competitions/401671625/plays?limit=300
401671655,Chargers v Broncos,LAC v DEN,6,2024,7,24,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671655,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671655/competitions/401671655/plays?limit=300
401671657,Steelers v Raiders,PIT v LV,6,2024,13,23,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671657,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671657/competitions/401671657/plays?limit=300
401671769,Falcons v Panthers,ATL v CAR,6,2024,29,1,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671769,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671769/competitions/401671769/plays?limit=300
401671791,Bengals v Giants,CIN v NYG,6,2024,19,4,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671791,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671791/competitions/401671791/plays?limit=300
401671684,Bills v Jets,BUF v NYJ,6,2024,20,2,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671684,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671684/competitions/401671684/plays?limit=300
401671816,Broncos v Saints,DEN v NO,7,2024,18,7,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671816,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671816/competitions/401671816/plays?limit=300
401671801,Patriots v Jaguars,NE v JAX,7,2024,30,17,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671801,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671801/competitions/401671801/plays?limit=300
401671616,Titans v Bills,TEN v BUF,7,2024,2,10,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671616,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671616/competitions/401671616/plays?limit=300
401671853,Bengals v Browns,CIN v CLE,7,2024,5,4,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671853,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671853/competitions/401671853/plays?limit=300
401671644,Texans v Packers,HOU v GB,7,2024,9,34,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671644,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671644/competitions/401671644/plays?limit=300
